category,model,number_of_apps
text-classification,cardiffnlp/twitter-roberta-base-sentiment-latest,69
text-classification,smilegate-ai/kor_unsmile,13
text-classification,cardiffnlp/twitter-roberta-base-irony,2
text-classification,lxyuan/distilbert-base-multilingual-cased-sentiments-student,13
text-classification,distilbert-base-uncased-finetuned-sst-2-english,216
text-classification,SamLowe/roberta-base-go_emotions,42
text-classification,mrm8488/distilroberta-finetuned-financial-news-sentiment-analysis,25
text-classification,Ashishkr/query_wellformedness_score,0
text-classification,marieke93/MiniLM-evidence-types,0
text-classification,laiyer/deberta-v3-base-prompt-injection,2
text-classification,j-hartmann/emotion-english-distilroberta-base,55
text-classification,nlptown/bert-base-multilingual-uncased-sentiment,61
text-classification,cardiffnlp/twitter-roberta-base-sentiment,62
text-classification,ProsusAI/finbert,60
text-classification,cross-encoder/ms-marco-MiniLM-L-6-v2,69
text-classification,padmajabfrl/Gender-Classification,2
text-classification,cardiffnlp/twitter-xlm-roberta-base-sentiment,18
text-classification,cross-encoder/ms-marco-MiniLM-L-4-v2,3
text-classification,cross-encoder/ms-marco-TinyBERT-L-2-v2,7
text-classification,CAMeL-Lab/bert-base-arabic-camelbert-da-sentiment,2
text-classification,vikp/column_detector,0
text-classification,fmops/distilbert-prompt-injection,2
text-classification,yiyanghkust/finbert-tone,27
text-classification,s-nlp/russian_toxicity_classifier,3
text-classification,microsoft/deberta-large-mnli,2
text-classification,dmis-lab/biobert-large-cased-v1.1-mnli,0
text-classification,papluca/xlm-roberta-base-language-detection,14
text-classification,prithivida/parrot_adequacy_model,1
text-classification,martin-ha/toxic-comment-model,1
text-classification,finiteautomata/bertweet-base-sentiment-analysis,48
text-classification,MonoHime/rubert-base-cased-sentiment-new,1
text-classification,cardiffnlp/twitter-roberta-base-offensive,1
text-classification,sadickam/sdg-classification-bert,1
text-classification,madhurjindal/autonlp-Gibberish-Detector-492513457,6
text-classification,cross-encoder/ms-marco-MiniLM-L-12-v2,39
text-classification,ahmedrachid/FinancialBERT-Sentiment-Analysis,15
text-classification,oliverguhr/german-sentiment-bert,6
text-classification,deepset/deberta-v3-base-injection,1
text-classification,michellejieli/emotion_text_classifier,8
text-classification,kk08/CryptoBERT,2
text-classification,prithivida/parrot_fluency_model,0
text-classification,finiteautomata/beto-sentiment-analysis,12
text-classification,BAAI/bge-reranker-large,0
text-classification,uer/roberta-base-finetuned-chinanews-chinese,0
text-classification,siebert/sentiment-roberta-large-english,26
text-classification,shed-e/thucnews,0
text-classification,climatebert/distilroberta-base-climate-sentiment,0
text-classification,climatebert/distilroberta-base-climate-specificity,0
text-classification,Seethal/sentiment_analysis_generic_dataset,11
text-classification,mshenoda/roberta-spam,0
text-classification,yiyanghkust/finbert-fls,13
text-classification,Sigma/financial-sentiment-analysis,3
text-classification,ayameRushia/bert-base-indonesian-1.5G-sentiment-analysis-smsa,0
text-classification,HooshvareLab/bert-fa-base-uncased-sentiment-deepsentipers-binary,0
text-classification,roberta-large-mnli,28
text-classification,lucadiliello/BLEURT-20-D12,0
text-classification,llm-book/bert-base-japanese-v3-jsts,0
text-classification,SAPOSS/password-model,0
text-classification,BAAI/bge-reranker-base,2
text-classification,facebook/roberta-hate-speech-dynabench-r4-target,6
text-classification,JiaqiLee/imdb-finetuned-bert-base-uncased,0
text-classification,lvwerra/distilbert-imdb,2
text-classification,s-nlp/roberta_toxicity_classifier,4
text-classification,VictorSanh/roberta-base-finetuned-yelp-polarity,0
text-classification,cross-encoder/stsb-TinyBERT-L-4,0
text-classification,bhadresh-savani/bert-base-uncased-emotion,10
text-classification,roberta-base-openai-detector,10
text-classification,rungalileo/xlm-roberta-base-misogyny-sexism-tweets-quantized-traced,0
text-classification,finiteautomata/bertweet-base-emotion-analysis,1
text-classification,microsoft/deberta-xlarge-mnli,10
text-classification,rungalileo/roberta-large-goemotions-quantized-traced,0
text-classification,unitary/toxic-bert,11
text-classification,cardiffnlp/tweet-topic-21-multi,1
text-classification,koheiduck/bert-japanese-finetuned-sentiment,0
text-classification,cross-encoder/ms-marco-MiniLM-L-2-v2,1
text-classification,rungalileo/toxic-bert-quantized-traced,0
text-classification,clhuang/albert-news-classification,0
text-classification,Elron/bleurt-base-512,0
text-classification,cross-encoder/stsb-roberta-base,4
text-classification,microsoft/Multilingual-MiniLM-L12-H384,4
text-classification,climatebert/distilroberta-base-climate-detector,0
text-classification,climatebert/distilroberta-base-climate-tcfd,0
text-classification,sbcBI/sentiment_analysis_model,5
text-classification,HooshvareLab/bert-fa-base-uncased-sentiment-snappfood,0
text-classification,ka05ar/banglabert-sentiment,0
text-classification,cross-encoder/ms-marco-TinyBERT-L-2,1
text-classification,OpenAssistant/reward-model-deberta-v3-large-v2,17
text-classification,textattack/roberta-base-imdb,2
text-classification,nateraw/bert-base-uncased-emotion,180
text-classification,navteca/ms-marco-MiniLM-L-6-v2,0
text-classification,soleimanian/financial-roberta-large-sentiment,1
text-classification,Intel/bert-base-uncased-mrpc,0
text-classification,cross-encoder/stsb-roberta-large,1
text-classification,yiyanghkust/finbert-esg-9-categories,0
text-classification,textattack/bert-base-uncased-SST-2,4
text-classification,textattack/roberta-base-SST-2,2
text-classification,shahrukhx01/question-vs-statement-classifier,0
text-classification,AdamCodd/distilbert-base-uncased-finetuned-sentiment-amazon,0
text-classification,huggingface/CodeBERTa-language-id,0
text-classification,bhadresh-savani/distilbert-base-uncased-emotion,22
