category,model,number_of_apps
text-classification,cardiffnlp/twitter-roberta-base-sentiment-latest,69
text-classification,smilegate-ai/kor_unsmile,12
text-classification,cardiffnlp/twitter-roberta-base-irony,2
text-classification,lxyuan/distilbert-base-multilingual-cased-sentiments-student,13
text-classification,distilbert-base-uncased-finetuned-sst-2-english,215
text-classification,SamLowe/roberta-base-go_emotions,42
text-classification,mrm8488/distilroberta-finetuned-financial-news-sentiment-analysis,25
text-classification,Ashishkr/query_wellformedness_score,0
text-classification,marieke93/MiniLM-evidence-types,0
text-classification,laiyer/deberta-v3-base-prompt-injection,2
text-classification,j-hartmann/emotion-english-distilroberta-base,55
text-classification,nlptown/bert-base-multilingual-uncased-sentiment,60
text-classification,cardiffnlp/twitter-roberta-base-sentiment,62
text-classification,ProsusAI/finbert,60
text-classification,cross-encoder/ms-marco-MiniLM-L-6-v2,69
text-classification,padmajabfrl/Gender-Classification,1
text-classification,cardiffnlp/twitter-xlm-roberta-base-sentiment,18
text-classification,cross-encoder/ms-marco-MiniLM-L-4-v2,3
text-classification,cross-encoder/ms-marco-TinyBERT-L-2-v2,7
text-classification,CAMeL-Lab/bert-base-arabic-camelbert-da-sentiment,2
