category,model,number_of_apps
text-generation,gpt2,1212
text-generation,baffo32/decapoda-research-llama-7B-hf,0
text-generation,distilgpt2,111
text-generation,tiiuae/falcon-40b-instruct,62
text-generation,bigscience/bloom-560m,82
text-generation,mistralai/Mixtral-8x7B-Instruct-v0.1,255
text-generation,meta-llama/Llama-2-7b-chat-hf,605
text-generation,davidkim205/komt-mistral-7b-v1,4
text-generation,teknium/OpenHermes-2-Mistral-7B,3
text-generation,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ,1
text-generation,mistralai/Mistral-7B-v0.1,245
text-generation,h2oai/h2ogpt-4096-llama2-7b-chat,9
text-generation,meta-llama/Llama-2-7b-hf,109
text-generation,facebook/opt-125m,82
text-generation,TheBloke/vicuna-7B-v1.3-GPTQ,0
text-generation,petals-team/StableBeluga2,6
text-generation,TheBloke/Wizard-Vicuna-7B-Uncensored-GPTQ,3
text-generation,microsoft/phi-2,67
text-generation,HuggingFaceM4/tiny-random-LlamaForCausalLM,0
text-generation,openai-community/gpt2-large,1
text-generation,NousResearch/Nous-Hermes-Llama2-13b,43
text-generation,TinyPixel/Llama-2-7B-bf16-sharded,7
text-generation,OpenAssistant/llama2-13b-orca-8k-3319,17
text-generation,meta-llama/Llama-2-13b-chat-hf,186
text-generation,mistralai/Mistral-7B-Instruct-v0.2,41
text-generation,openai-community/gpt2-xl,0
text-generation,EleutherAI/gpt-neo-125m,24
text-generation,mistralai/Mistral-7B-Instruct-v0.1,316
text-generation,NousResearch/Llama-2-7b-chat-hf,10
text-generation,openai-community/gpt2-medium,0
text-generation,nferruz/ProtGPT2,1
text-generation,tiiuae/falcon-7b-instruct,227
text-generation,nightdessert/WeCheck,0
text-generation,xlnet-base-cased,19
text-generation,Deci/DeciCoder-1b,16
text-generation,lmsys/vicuna-7b-v1.5,43
text-generation,meta-llama/Llama-2-70b-chat-hf,431
text-generation,HuggingFaceH4/zephyr-7b-beta,229
text-generation,sshleifer/tiny-gpt2,1
text-generation,tiiuae/falcon-7b,93
text-generation,EleutherAI/pythia-160m-deduped,14
text-generation,NousResearch/Llama-2-7b-hf,7
text-generation,facebook/opt-2.7b,23
text-generation,TheBloke/CodeLlama-34B-Instruct-GPTQ,0
text-generation,echarlaix/tiny-random-mistral,0
text-generation,TheBloke/Llama-2-13B-chat-GPTQ,5
text-generation,EleutherAI/gpt-j-6b,52
text-generation,fxmarty/tiny-llama-fast-tokenizer,1
text-generation,NousResearch/Yarn-Mistral-7b-128k,25
text-generation,EleutherAI/gpt-neo-1.3B,143
text-generation,meta-llama/Llama-2-13b-hf,99
text-generation,mistralai/Mixtral-8x7B-v0.1,167
text-generation,fxmarty/really-tiny-falcon-testing,0
text-generation,liuhaotian/llava-v1.5-7b,13
text-generation,facebook/opt-350m,73
text-generation,Gryphe/MythoMax-L2-13b,16
text-generation,Qwen/Qwen-1_8B-Chat,7
text-generation,EleutherAI/gpt-neo-2.7B,158
text-generation,Vamsi/T5_Paraphrase_Paws,6
text-generation,tiiuae/falcon-rw-1b,6
text-generation,Open-Orca/Mistral-7B-OpenOrca,45
text-generation,HuggingFaceH4/zephyr-7b-alpha,85
text-generation,microsoft/phi-1_5,42
text-generation,bigscience/bloomz-560m,14
text-generation,TheBloke/Llama-2-7B-Chat-GPTQ,1
text-generation,huggyllama/llama-7b,25
text-generation,TinyLlama/TinyLlama-1.1B-Chat-v1.0,61
text-generation,stabilityai/StableBeluga-7B,26
text-generation,Riiid/sheep-duck-llama-2,7
text-generation,vilsonrodrigues/falcon-7b-instruct-sharded,3
text-generation,DiscoResearch/mixtral-7b-8expert,0
text-generation,bigscience/bloom-1b1,14
text-generation,lmsys/vicuna-7b-v1.3,39
text-generation,facebook/opt-1.3b,109
text-generation,bigscience/bloom-7b1,30
text-generation,cognitivecomputations/dolphin-2.2.1-mistral-7b,2
text-generation,microsoft/biogpt,34
text-generation,togethercomputer/GPT-JT-6B-v1,19
text-generation,bigscience/bloom-1b7,17
text-generation,TinyLlama/TinyLlama-1.1B-Chat-v0.6,1
text-generation,togethercomputer/LLaMA-2-7B-32K,51
text-generation,mosaicml/mpt-7b,20
text-generation,liuhaotian/llava-v1.5-13b,27
text-generation,JackFram/llama-68m,0
text-generation,Qwen/Qwen-7B-Chat,71
text-generation,TheBloke/Nous-Hermes-13B-GPTQ,7
text-generation,meta-llama/Llama-2-70b-hf,176
text-generation,openlm-research/open_llama_7b_v2,20
text-generation,bigscience/bloomz-3b,9
text-generation,teknium/OpenHermes-2.5-Mistral-7B,22
text-generation,trl-internal-testing/tiny-random-GPTNeoXForCausalLM,0
text-generation,KoboldAI/GPT-J-6B-Janeway,12
text-generation,TheBloke/Wizard-Vicuna-13B-Uncensored-GPTQ,8
text-generation,NousResearch/Nous-Hermes-llama-2-7b,33
text-generation,TheBloke/Wizard-Vicuna-30B-Uncensored-GPTQ,11
text-generation,EleutherAI/pythia-70m-deduped,16
text-generation,KoboldAI/OPT-6B-nerys-v2,11
text-generation,bigscience/bloomz-7b1,18
text-generation,TinyLlama/TinyLlama-1.1B-Chat-v0.3,0
text-generation,h2oai/h2ogpt-4096-llama2-13b-chat,8
